Q,A
학교 4년 다니는동안 한번도 성적 공개날짜에 성적이 안나온적이 없었는데 이번학기는 아직도 2개나 성적이 안나옴 이거 왜이럼???,뭐잇긴한듯 나도 지금 교양 하나 성적 전체 잘못 나와서 월욜날 성적 나온다던데
저기 보이는 구간 안에 들면 무조건 받는건가요?,자격 요건이고 성적순으로 짤라요
국장으로 전액나오면 학교 성적 장학금은 못받지? ㅠ,국장 전액이 ㄱㄴ?
4학년 1학기는 11학점 맞나요?,써잇구만 왜물어봐
이거 맞냐 ? 동위원소의 질량의 평균질량이랑동위원소의 평균질랑이랑  의미가 다를수 있는건가 ?그리고 밑에껀 뭐떔에 15점이 깍인걸까,질량의 평균이랑 평균질량이 다른 뜻인건가?
있는 사람......?아직까지 안나온거면 언제 나오겠다는거지....,월요일
"하아,,,;;;물리 중간9개 기말11개 맞았는데 무슨b+을줘 a0는 무조건 나오는 점수 아니냐?? 실험보고서 과제 출석 다했는데;; 다른 교수면 무조건a0나오는건데 하아;;",그럼 더 잘하던가..
19학점 이상으로 들을수있어??,ㅇㅇ
알려주라..,아 ㅋㅋ  ㄹㅇ ㅋㅋ만 치라고
재수강 하려했는데 재수강 못하나요??,할 수 있어요
1학년 감안하면 낮은 거죠...?,ㄱㅊ 난 2.3이었는데 취업은 했어 전공은 안살리긴했지만
재수강하려면 무슨 신청서를 작성해야 다시 들을 수 있는건가요? 아님 제가 다시 다음학기에 수강신청을 하면 들을 수 있는건가요..?,후자입니다~!
다음학기 몇 학점 더 들을 수 있음?,너가 알아봐ㅋㅋㅋ
1학기 끝나고 군대가면 무조건 2학기에 복학할 수 있나요?,뭐 엇학기 복학 가능하지만 개설되는 과목이 별로 없겠죠 특히 공대면
재수강을 했는데 전에 F 받은거 덮어쓰려면 어떻게 하나요 ??,기간이있어요 학교에서 공지해줄겁니다
물론 난 동갑이랑만 사겨봄19살 20살은 가능함? 기준이 어케되는거임17살 19살때 만나다가  19 21은 가능하고?,내가알기론 만나다가 성인되서 그런건 상관 없는데 아예 성인때부터 미자랑 사귀면 법에도 걸릴걸
??학기중에 같이하는거임?,어느때나 해도 상관없는데 보통 전공같은경우 학기중에만 열기 때문에 학기중에 하는게 일반적임
백분위 80이상 맞지? 학점 딱 3인데,학점이3이라도 더 낮을 수 있지 않음?
학과는 전자공학과,재밌겠냐
성적 언제 입력할거니?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ교수가 니 친구냐
학점 난이도 어땠음? 절대때랑 다름?,절평때는 출석과제만해도 b0정도 주는느낌이었음
그건당연한거고~,왜 당연?
지각 결석 과제 미제출 과제 백지도 없는데 시험 못봤다고 f를 받을수있음?,있긴 함...
기말때 열심히해서 B+ 맞으면.. 복구 ㄱㄴ?,열심히하면 안될게 뭐있어
션한 맥주 마시고싶은데,나랑 먹쟈
기말 얼마나 풀었어?,삭제된 댓글입니다.
플러팅하는데 아무리그래도 미자는 이성으로 안보여서 계속 철벽을 치는중이거든? 근데 이게 좀 너무 심하게 들이대는데 그냥 아예 관심 안주고 계속 철벽치는게 맞겠지? 워낙 오래알고지냈어서 거의 사촌동생같은느낌인데 얘는 안그런가봐,별로면 철벽 쳐야지
왜 도대체 안 올려줘 25일인데 왜? 왜!!!!!!??나 출석 몇번 빠졌는지 애매해서 쫄린단 말이야,상담때 패슨지 논패슨지 말해주지 않나
평균 3.98인데 발악 한번 해봐야 하나,성적이 평균 A는 된다는 뜻임
이거 담학기에 필수라 들어야하는데 빡셈?에타 보니까 패스논패스 과목인데 뭔 중간 기말에다 과제도 매주있다는데진로설계보다 귀찮음?,? 녹강에다가 과제 1개뿐이여서 개꿀이였는데
어캐 c+로 올리나요..?공부 드럽게 안 한거 아는데학점이 너무 필요해서..c+에서 b는 어려워도 0->+는 교수님 재량이라는데..,다음학기에 재수강 하세요
성취장학금 컴활 토익 그것도 유닛 필요한가요..?설마,가서 조건을 확인해보세요
혹시 등급 나왔나요? 아무것도 안떠서요ㅠ,삭제된 댓글입니다.
유닛은 공통조건임?? 신입생은 무조건4유닛 필요함?? 3유닛이면 안줌?? 아예??,학교에서 주는 장학금 받으려면 무조건 기준 충족해야해!!
학과가70명이면 무조건 과에서2명만줌? 3명까지는 안줌??,1명
학교에서 문자보내주는거야? 보내주는거면 언제쯤 와?,장학금신청때 서류내라고와
안 읽으시면 언제쯤 다시 연락 드려야 할까...내일까지는 기다려봐야겠지?,ㅇㅇ좀만 더 기다려봐
내려갈 수도 있음??,ㅇㅇ
기계말고 또 있나?,물론 2학년부터
학점 2.43이면 개망한고임 ??,ㅇㅇ
ㅠㅠ 뭔가 씨플 나올거같아서…,백분율 계산해서 80이상이면 받음
성적 좋아서 받는 장학금은 못받는거에요?교외 장학금이라는 이름을 학교 홈페이지에서 못찾겠어요.. 선배님들 저 좀 알려주실수 있나요??,"국가+교내장학금은 등록금까지만 받을 수 있고, 교외장학금은 알아서 대상되면 연락줄거에요. 남은 등록금만큼 성적장학금 알아서 줄거구요"
궁금한데  점수이래 나온개,기말은 보통 이멜로 물어보면 알려주심
아직 까지 답없으신거면  까먹으신건가???,주소가 한밭대 메일이면 보내자마자 읽음 표시 뜸
"무슨 89.99 최대한 준건데 이의신청 하면 에이 될까요?부터 시작해서 85 비쁠인데 에이될까요?ㅋㅋㅋㅋ씨 절대 안되는데 비로 올려주실까요?아니 되겠냐고ㅠㅜㅜㅜㅜㅠㅠ 이의신청은 너네가 시험을 개잘본거같은데 점수가 낮다고 생각될때 산정을 다시 해주실 수 있냐, 혹은 90점 나와야하는데 9 만입력하셨던지, 진설같은경우 과제 상담 다 해서 패스인데 논패가 떴던지 이런거 이의신청 하는거지아 저 0.01점 아까운데 0.01점 올려서 에이로 해주시면 안되나요? 저 국가장학금때문에 백분율 맞춰야해서 몇점 올려주시면 안되나요? 저 씨는 받으면 절대 안되는데 비로 좀 해주시면 안되나요? 이러라고 있는게 이의신청이 아니란다…솔직히 89점, 89.99점 이런건 교수님이 줄 수 있는 성적 중에 최대한 준 경우, 잘한 순으로 줄세워봤을때 상대평가 비율로 에이는 못들어가고 비중에서 잘한편일때 비 꽉 채워 주신 거임 그니까 걍 감사하고 있으셈그리고 75점인데 비로 등급 올려달라는건 말이 된다거 생각하는거야?? 70점 씨인데 75점 씨쁠도 있을 수 없는 일인데 등급을 올려달라?국장땜에 백분율 올려달라는 말도 교수님들이 너네 사정 왜 다 생각해줘야함 감성팔이 하지 말자.. 니들 성적이고 니들이 국장조건 성적 못맞춘거야.. 그래놓고 백분율 몇점만 더 올리면 국장 되는데 이러면서 교수님 탓 하지 말길이런거 질문해놓고 그게 된다고 생각하냐 절대 안된다 라고 댓글달면 그냥 물어볼수도 있는거지~ 이게 안되면 이의신청 뭘 하는거냐 이러고ㅋㅋㅋ그냥 그런 글 올리는거 자체가 생각없이 올린거야ㅠㅠㅠ",그러려니해 왜 스트레스받고있음
전장 우수 A대체로 몇점까지?,과바과지만 우수 에이는 적어도4.3응 되야하지 않을까
들어가면 튕겨,그거 그런지 2년도 넘음 그냥 방치하는듯
성적 바뀌는 사례가 있긴함?,있으니까 이의신청 기간이 있는거지
재수강인해봐서 모르겠는데요 에타 찾아보다가 성적 F 이상인거 F로 달라하고 재수강하면 최대 에이플도되나요?,재수강은 A까지
그동안 들었던 복전 수업들은 다 일반교양 취급임?,그렇다고 하던데!?
다음학기에 경영회계로 복전 어떨까요..?,공대생인데 왜 경영회계들어요?? 아버지회사 물려받아요??
"a0 안될까요??,,, 될 가능성 몇%일까요??출석이랑 과제 실험보고서 전부 다냈어요",네 안됩니다
성적 안올라온거 맞지?,열받네
우리학교는 어디로가는지 궁금해,불국사
일 년에 한 번 있는 전공수업이라 이거 재수강 하려면 한학기 더 다니는 거 말곤 답없는데 ..디쁠에서 씨로 올려본 사람 ㅠ,교수님 연구실에서 그랜절하면 가능할 듯
중간기말 총합26개에 태도점수(출결 실험보고서 과제 헬프룸포함) 28.3점인데 a+나올까요??,삭제된 댓글입니다.
실시간 아닌거 같은데,내일 주말이라 안나올걸ㅋㅋ..
조교들이 많이하기도 함??,대학원생 많이 키우시는분들은 거의그럼
백분율 80 넘으면 다 받을 수 있나요?,백분율이 아니라 백분위 80받아야함
네이버 학점 계산기 백분위랑 학교 백분위 계산 값이 왜 다르지...?,백분율 계산한거 아님?
이러다가 진짜 다음주 월요일에 나오는거 아니야? ㅅㅇㅇ 교수 특성상 주말은 무조건 쉴것 같은데,다신 만나지말자 ㅅㅇㅇ
밭대 신소재는 인식이 좀 바닥이야? 밑에 글에 메이저과 뭐라뭐라 해서,ㄴㄴ 신소재도 반도체임
12시땡하면 나옴..?,즉시반영임
전기에서 성적장학금 c받을려고 하면 학점이 몇이어야 하나요?,나 전학기 4.2에 반액 나왔어
최대한 맞춰주신거죠? 아니면 억까?,ㅋ
28분인가28분 지나면 나오겠지? 제발,지금 안그럴까봐 매우불안ㅋㅋ
1학년인데 ㅠㅠㅠ,난 1.98 이었어 ㄱㅊ아 아직 살아있어
괜찮은건가?,더 열심히 해야하는 점수임
전기 다들 잘봄?난 개 같이 멸망 ㅋㅋㅋ,전기가 전자기학 줄이는거냐 그렇게 줄이는거 처음 듣네
22학번잇니?,18은 안되나요?
학점 왜 안나와..? 나만 안나와..?????,나도 안 떴어.....
도데체 그들만의 기준은 뭐임??,삭제된 댓글입니다.
한밭대 건축학(공학)도 유명하다던데,전화기컴행
1학년만 4유닛 충족하면 되고 2학년부터는 8유닛 필요한거죠? 공지 봤는데 혹시나 해서요,2학년이 누적 20(1학년부터)또는 학기별 8
요거어때?토익처음하는데 수능이후로 1학년때 잠깐영어수업듣고 군전역하고 영어해본적없는데 왕초보 인강안듣고이거들어두될까나,난해커스보다 ybm추천함
나 전자다 화공이다 안하고 굳이,조금이라도 자길 못알아보게하고싶은거임
뭐 학점 전체 다 나오면 계산을 어떻게 하나요? 점수 다 더해서 평균내는 건가요?,에타에 걍 각 과목 점수 넣으세여 알아서 계산해줌
콧구멍 벌렁벌렁 의도적으로 할수있는사람이 있어?,할수 없는사람이 있어 ?
백분위 81 b랑 89b랑 같은취급이에요? 플러스 안준다치면 ㅇㅇ,학점이 다르지않나?
중국어과 선배님들 답변 부탁드려요!,높은거죠!
받을수있나요?,3.0이상ㄴ걸로암 백분위 80이상
이정도면 잘한거임? 성적우수장학금 노려볼 수 있으려나?,나도궁금 3.97인데
이의 신청했는데  읽고  답이 없으셔,메일보내서 답없으시면 문자로 보내보자
아 나한테 멘토가 필요한데,못해
성적장학금받을수있나요?,삭제된 댓글입니다.
성적 안 올라온 거 맞음?,ㅇㅇ
복전이란 심전중에 뭘 더 많이 하세요??,심전
뭐 잘못됐나..?,나도 한과목 안나옴
4.38나왔는데,최소 14학점
다른과들고 궁금하네,건축공 95 a+나온 캡스톤2
"성적중복취소하면 재수강하거나, 계절학기 들어야되는건가요? 성적포기도 있나요?",재수강을 하면 같은 과목을 두 번 들은 거니까 학점이 중복될 거 아님. 그 중 하나를 포기해서 학점 하나만 가져가는 걸 중복학점포기라 함. 그걸 하면 재수강을 하는 게 아니라 그냥 재수강 절차임
음식해주나요?,삭제된 댓글입니다.
과제 출석 다했고 중간기말 총합45면 b0나올만 하지않아??? 65%안에는 들거같은데 이의제기 해볼까?? 원점수도 77인게 말이안되,애들이 잘봤나보지
중간 말아먹고 3.5받았는데 아쉽다키ㅠ,3.8 나왔습니다
기준으로 백분위 80 나오면 국장 주는거야?,네
예를들어 기계과에서 3.6받는거랑 다른과(ex신소재 정보통신등등) 에서 3.6받은거랑 약간 인식이 다름?,당연함
성적 아직 안 올라온거 맞지?,ㅇㅇ
맞나요..?,ㅇㅇ
내일은 올라오냐?,담주에 올릴듯ㅋㅋ
아니면 과 전체 학생들 중에서 뽑는거야?,학년별아님?
재수강 많은 과목들임? 점수 미쳤음...ㅠㅠ,ㅇㅇ
복수전공으로 경영학과 당연히 붙는 성적일까요?붙으신분들 알려주세용!,네 저 4.17로 붙었어요
1학년입니다.,좋은건 아닌데 안좋은것도 아님
점수 다들 잘 받았어요?,시험 다보고 과제 영상 다해서 비플
응애 나 돼지 살빼고싶어,삭제된 댓글입니다.
하나 D+ 나와서 꼴아박음....,간당간당 할듯. D+있는데 3.5면 나머지 ㅈㄴ잘했네
영어잘못하는데 영국사람들 인종차별 심한가요?두달동안 다녀와야하는데..ㅠ,네 영국은 심해요 밤늦게 돌아다니지는 마세요
이거 재수강 다 할수있음??,5학년
"건축설비관계법규 중간 20, 기말 26 나와서 거기에 출석,  보고서 20해서 66점 주고 D+ 준거라는데 그냥 내가 시험 꼴아박아서 퍼센트가 D+ 나올 퍼센트가 나온거야 아님 그 교수님만 점수를 그렇게 매기는거야?",시험 꼬라박은게 맞음
2학기에 동아리 부원 모집해여?? 안할라나여.....?,동바동
문제보면  안풀리자나그냥  답보고  외우라고??,넴
아직까지 머리싸매봤자 내점수는 그대로라니까?,이건 무슨ㅋㅋㅋㅋ
문과 기준,삭제된 댓글입니다.
발표했냐?,삭제된 댓글입니다.
이의제기해서 잘되면 에이쁠 주시나요 ..?,그러다가 추락함 ..
1점 이번달 안에 들어오나..?그거까지 해야 4점 모이는데 너무 느려서 걱정이야이런건 어디에 문의해야하지 일자리 어쩌구??,어차피 장학금 선정하는 기간이 따로 있는데 보통 등록금 고지서 나오기 몇주전부터 선정해서 그 전까지만 들어오면 될걸 글고 아마 그거 생각해서 그 전에 한꺼번에 들어올것 같은데 정 궁금하면 과사에 전화ㄱ
학점 평균 얼마 정도 받아야 대상으로 선발되나요?,4 넘어야 돼요
검사비용 유지장치 모든거 다포함해서 전체교정 현금가530만원에 일시불로 했는데 괜찮은건가요ㅇㅅㅇ? 교정한 선생님들 알려주세요,매달 검진비용도 포함하셨어요?
아니 교수 점수매기는거 ㅈㄴ 이상하게함;; 점수에 중간기말 점수를 그대로 넣었던데 상대평가니까 % 따져서 넣어야되는거 아님??,왜 재수강이 많은지 이제 알겠음?
성적장학금은 못받는거야? 아니면 성적장학금으로 깎이고 남은 돈만 국장으로 해결하는거야??그럼 전액 성적장학금 받으면 그 학기는 국장을 아예 안쓰는건가?,국장 받아도 성장 받을 수 있고 성장 먼저 깍이고 남은거는 국장으로 차감됨
C+로 내려달라고 하면 내려줘??그리고 1학년인데 8학점 재수강해야댈거같은데 많이 힘들어???,한 학기 더 다녀라 그냥
작년엔 따로 신청했던거같은데 사라졌나요?,넴
4.03 입니다... 가능할까요?,ㅇㅇ
못받나요??,국장 대상자면 못받지
진설도 그렇고 안뜨네,삭제된 댓글입니다.
존나 답답하네,아니
3.99인데 4라고 생각해두 괜찮아?,아니 3.99는 4가 될수 없어
성적장학금은 못받는거에요?,성적우수는 받을 수 있음
아침에 A+였는데 지금 F돼있음뭐지?몰카인가?,구라 ㄴ
2학기에 몇학점 들어???,10학점
2학기때 공학수학2 수강신청못하나요?,네
다들 조금만 들어서 다 높으려나...,학점이 13밑이어서 못받지
못풀겠어요x값 구하는건데풀이까지 가능할까요?,30
4학년친구들은 다른 학년친구들보다 비교적 학점 적게 들으니까 평균 성적이 높겠지?,그것도 아니더라 ㅋㅋㅋ
성적나옴??,ㄴㄴ
성적장학금 신청해야지 나오는건가요?,ㄴㄴ
C+나왔는데 실화야..??,푸하하 에이플나왔지롱
그냥 다 f냐,ㅠ안돼..
성적확인 어디서해요?,통합학사 들어가셔서 성적확인 쪽에 있어요~
반액 장학금이면 1.만약 학기가2개라고 치면 한학기는 공짜로 다니는거임?(학기당 등록금200만원이라고 가정) 아니면 2.그냥 한학기200만원의 등록금을100만원만 차감해주는 형태로 100만원은 내야하는거임? 전자가 맞음 후자가맞음?,2
국장으로 공대전액낼수있음?성적은 백분위 80넘김,5분위 지원금 확인해봐
일등석 예매 성공해서 이번에 보러갈까 하는데그냥 취소하고 세비야 2등석에서 볼까어떻게 세비야 2등석 = 케이리그 1등석 가격이 같어 ㅋㅋㅋ,몇자리인가요?
대략 과1학년 70명중에서 몇등까지 받을 수 있음??,2명
80 85 90 95 이런식으루,나 99 에이플
아 ㅋㅋ 개에바네 ㅜㅜ 보내볼까 그래도?,왜 0.4점 올릴라고?
평점 3.88 나오던데,ㅅㅌㅊ
c+ c c b f f 이러면 학고 나옴? ㅋㅋ;;,학고 기준 뭐더라 1.7이었나
12학점만 들었는데 4.5받음올에쁠 아녀도 학점 더 많이 들은 학생이 우선순위로 장학금받나?,응응
성적 나왔어?,안나옴
교수님한테다시 메일 보내두  될까??4시간 전  읽으시고 답장없으시길래 까먹으실까봐ㅜㅜ,아냐 아직 기간 좀 있으니깐 일요일까지 기다리고 월요일에 ㄱ
점수 나만 안나왔어??,나두~
여름방학도 1학기에 포함이니까 그렇겠지?,ㄴㄴ6월 30
A+ 1개A0 2개B+ 3개1학기에 유닛 10점인데장학금 나옴?국장은 어차피 10구간이라 못받음,잘하면30퍼받을수도
수강한 과목들 총합 백분율 평균이 80넘으면 되죠?,삭제된 댓글입니다.
3.6이고 유닛0인데 c장학금 받으려면 유닛 4점 있어야 하는거죠??,ㅇ
재수강....해야겠지...?,ㅇㅇ
1학년인데 c+ 두개인데 다 재수강 안하면 후회하는거죠??,굳이 후회는 안 해요 나중에도 할 수 있으니까….
어디 학교처럼 아는사람들끼리 인맥으로 주고 그러는건 아니지?,삭제된 댓글입니다.
무슨 메가박스? 영화관 근처였는데 기억이 안나네,대전 둔산점 꽤 큼 메가박스 근처면 탄방 말하는 굿 같은데 탄방은 그닥 안 커
학점 어디서 확인해 ?,통합학사-성적관리-당해성적
학사경고 받으면 부모님한테 연락감? 우편이나 문자 전화? 성적 ㄹㅇ 개 망했네 ㅋㅋ,고건 잘 모르겠고 나한턴 연락오던데
상위 30퍼 전부 a+ 70퍼 전부 b+일수도 있삼?,ㅇㅇㅇ 실제로 a+ b+ c+만 주는 교수님 봄
장학금 가능?,ㄴㄴ
요건 이의제기 안 하는 편이 낫겠지?,너가 생각한것보다 너가 잘했던거임 수고햇어
그냥 저냥 평타친건가?,공대면 평타
총학님 ㅇㅇ ???,삭제된 댓글입니다.
3.8 성적장학금 가능?,나도궁금 3.9인데
성적장학금 c라도 받고 싶은데 3.8 이면 힘든가요? 공대 기준,3.5까지 받아봄
제목 곧 내용,저 좀 아까 나왔어요
하나만 더 나오면 평규낼수 있는데 오노..,오늘까지 입력기간이라 내일이면 다 나오긴함
국장 백분위가 통합포털에 있는 점수인가요? 그리고 80이상이면 본 과목 총합에 과목수를 나눈 값이 80이상이면 나오는건가요?,ㅇㅇ
6전공 3.75인데 불가능이겠지..?,아슬아슬할듯
보통 전액은 학점 어느정도부터 받아?,삭제된 댓글입니다.
1학년1학기 과목 재수강은 1학년 겨울계절학기 안으로 들어야 가능한건가용?? 재수강하려면 그냥 수강신청해서 강의 듣고 학점 잘 나오면 그냥 그 학점으로 대체되나용 아니면 무슨 서류를 써야 하나용,전공 대부분 계절에 안열림 다음년도 동일학기에 들으면됨 그냥 재수강한 다음 중복성적포기 ㄱㄱ
랩실은 보통 언제 들어가나요??,3학년
이의신청하면  거의 안하지않나??,ㅇㅇ 봄
하나 씨제로 나왔는데 b까지 올리지 못하면 문제 있음?,취업할때 ㅈㄴ 큼
답장 없으시면  ㅈ된거임?성적이의메일 보냈는데  읽고  답이없으시네,좀 기다리셈. 교수님은 한명이지만 담당 학생은 수백일텐데. 답장 해주시겠지~ 안해주시면 찾아뵈면 되고. 이제 금요일 점심시간인데
1학년 2학기 때 조진 거 2학년 1학기에 재수강하려고 했는데 안 되더라,과목이 1학기 거면 매년 1학기에 열리고 2학기 거면 매년 2학기에 열려서 그런 거 아냐?
계산했을때 6.4 이면 6등까지 A야? 아니면 7등까지 A야?넉넉히 잡아주는 건지 아니면 6등까지 딱 끊기는지 궁금해!!,6
1학기로 복학해서 재수강할 거 듣는거 ㄱㄴ?,ㄱㄴㄱㄴ
그냥담학기때 수강신청하면되나여?,담학기에 열리는 과목이면 ㅇㅇ..
89점 비플인데 메일드려서 에이제로로 올릴 수 있나..? 상대평가니까 당연 불가능이겠지..?,ㅇㅇ 그럼 너 앞에있는 누군가 B+됨
이번학기 너무 조져서 다 재수강 해야할 것 같은데 가능하냐,그게 5학년임
평균이 3.875인데 반올림해서 3.9로 알면 되나요?,학점은 내림이죠
찾아갈 용기가 있어…?,나도궁금
성적장학금 가능?,보통 전장 가능
왜 두과목 안뜨지,나도
공대 1학년 학점 3.75 괜찮나요?,공부를 한것도아니구 안한것도 아닌 그런점수야
전공학점에 포함 돼?,ㄴㄴ
비 오닝? 대전 가려는데 우산 안 챙겨가도 되겠지...,비 안오는 거 같음
교수님이 자긴 재수강아니면 무조건 + 붙여주신다 했는데 난 재수강이니까 한단계 내려서 받아야 되는거 아닌가ㅠㅠ,b+ 받음
성적확인은 통합학사에서 볼 수 있는거죠?,ㅇ
"교양3개가 아직도 안떴는데 뜨긴 하겠지,,?",나 하나 아직도 안뜸
"금 4,5교시",같은교수님 다른수업인데 안나왓어요
3학년 공대생인데 서포터즈 지원해볼라는데도움이 될까요? 공공기관 서포터즈이긴 한데2학기에 전공도 빡셀거 같고 서포터즈 하면 매달 개인+팀별 과제도 있는거 같아서 힘들거 같아요,서포터즈 2번 했는데 도움은 모르겠고 재미는 있었음
국장정도만 받으면 되는데 걱정 안해도 될까요..(1학년),ㅇㅇ
생각보다 좀 낮아서,구지?
오용준 교수님 과목 성적 아직 안뜬거지?오용준 교수님 과목 2개만 뜨면 되는데 언제 올려주시려나...,언제 올리시는 거야 기다리다 지치겠음
성적이의는 아닌데 점수가 이런지 중간이랑 기말 점수 물어보는건 괜찮겠지..?,ㅇㅇ당근나도 방금 메일보냄!
아직 안되는겨?,신청란 있음
한과목 D+이라 3.8나옴그거 빼면 4.3인데 재수강 하는게 낫겠지..?,ㅇㅇ
밖이라서..,ㄱㄴ
중간기말 전부 평균이면 b나 b쁠이야?,삭제된 댓글입니다.
한밭핵심역량에 독후감 올리는거 인성윤리에 올리는거 맞아 ?,물어봤는데 아무 영역이나 해도 상관없댔어
오늘 오전 10시 이후에 나오는 경우도 있어?,ㅇㅇ
지금 올라온거 있어? 계속 주기적으로 확인해야할지 그냥 내일까지 기다려야할지 감이 안잡히네...,삭제된 댓글입니다.
시험 점수 확인하는 사람 있어?,나
a부터 c+까지 하나씩 받았당,ㅂㄹ
성적장학금은 다음학기 등록금 감면 밖에 없나여?등록금은 부모님 회사에서 내줘서 상관없는데….,네 등록금감면만됨
밥 후딱 먹을곳이 필요한데..,네
"숫자 왜이러냐,,?성적산출 어캐 된 건지 너무 궁금해서 메일보내볼까 하는데 괜찮지?+전공과목이야",어떤과목?
88점 b+ 이의제기 A 가능할까요?,음 … 89도 어려운데
진설 출석 못했넹..,0.5라 버려도뭐
교양과목인데  출석도 한번 빠지고 과제도 다 제출했는데 시험도 나쁘지 않게 본거같은데 75점 c+ 나왔는데 이의제기하면 b0로 올라갈 수 있을까요??,무슨과목이에요
0점 F나 49점 F나 같은 F인가요?,그럼 F에 등급이 있겠음?
원가회계 f인사람 0점이야..?,삭제된 댓글입니다.
어휴 진짜 욕만나온다 시험평균이 80인거?,뭔과목
4학년이고 전공 92라 A인데 에이쁠로 올리기 힘들겠지??,94도 아니고 92는 가만히잇쟈
점수 잘나옴????,웅
3.1 별루?,아무리 공대여도..
과사에서 알려줌?,과사에 물어보면 되지
어떻게 이의신청하죠?,전화 ㄱㄱ
성적장학금 받을 때 최소학점에 패스논패스 1학점짜리 같은 것도 포함되는거지?,당근
나한테는 일선으로 뜨는거야??,ㅇㅇ
기간 언제부터 언제까지야?,학사일정 보고 안나와있으면 공지사항에서 전년도에 언제쯤 하기 시작했는데 봐
4학년은 듣는 학점이 적어서 성적장학금 컷 높아?,ㄴ
f 2개면 학사경고 먹나?,평점 1.7이하면 학사경고
언제까지 나오나요?,안나온건 25일이후에 확인하래요
국경 투자론은 늦게 나온다했고,삭제된 댓글입니다.
학점a0가 30프로인데 4미만은 냉정하게 공부 안한거 아니야..?,왜 다같이 열심히 공부했다는 결과값은 없는거야..
공대 기준 학점 몇 점이 잘한겨?,4이상이 잘한거징
재수강 ㄱ ? 교양인데,굳이?ㅋㅋ
진짜 내가 기획서부터 ppt 발표 거의다했는데 c+임 이거 성적의의신청하면 교수님이 받아주실려나??,시험도 팀플 발표가 끝임??
뭐지… 전공 하나가 성적이 안뜨는데,낼까지니깐 그럴수도
"과제도 틈틈히 다 냈고, 출석도 다하고, 시험도 못보더라도 다 했는데 F써있는데 맞나요.?.?.?.",시험을 너무못봤나봐
중간20 기말이론20 실기20프로 맞나요..? 생각보다 실기 비중이 적네여,삭제된 댓글입니다.
텍배동 들었던 분들 성적 아직 안나온거 맞나요? 출석 시험 과제 다 했는데 F가 떠있네요,저도 그렇게 뜹니다..
물리 84.59인데..이거 성적 이의 신청하려는데 혹시 가능 할까 이의 신청 어떻게 하는지 알려줘,그거 채워준거니깐 이의신청 ㄴ
시험 다 응시했는데????,그럴때 교수님께 문의하는거님
전공인디...,ㅇㅇ
"이러다 저, 할머니가 되어버려요?","그리운 에타에서는, 그 무렵 그 모습 그대로, 할머니가 서있고-"
98점이라고 우겨도 되냐ㅠ...?,재수없어.
아 너무 억울한데 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ큐ㅜㅠㅜㅜㅠ
제발,ㅇㅇㅇ 백분위로
하 과제 제출 했으면 b제로였는데 5점을 날려서 이렇게 된거같다 ;;;;;;;;;;;;,되겠어? ㅋ
다들 몇급에 성적 뭐나옴?,나 3급 에이쁠나옴
백분위보고줌? 아님 전공많이들은 순서?,백분위 일껄?
의의신청은 어떻게 할수있는거에요??,삭제된 댓글입니다.
89점으로 비쁠을 에이로 못바꾸겠지..? 힝구리퐁퐁..,ㅇㅇ 올려줄거면 진작 90으로 줬음
"장학금 위한, 학점 따질 때 포함시키나요? 아니면 그냥 빼고 학점 계산 하나요?",해당 학기 성적에 포함됩니다 ~
출석도 몇번 했는지 이의제기로 물어볼수있나요??코로나로 빠진거랑 그런거 들어갔는지 궁금해서,ㅇㅇ
하위권일 가능성도 있음?,하위권은 아님 b+인데
받으려면 유닛 채워야 하는건가요?보니까 다른친구들도 대부분 유닛 안채웠던데아무도 못받는건가… ㅋㅋㅋㅋㅋㅋ,과바과라 다를 거임
나만 F 뜨나?? 이럴수가없는데 걍 아직 입력을 안하신건가...?,아직 입력 안 하신 듯
???????,캡스톤 껴있어서 올라가나?
이번 퀴어축제 안했으면 좋겠다가욕먹을 말이야? 이게 왜차별주의자같은 말이라는거지그리고 나 무교인데 기독교다녀서 그렇다고 뭐라하지마라,삭제된 댓글입니다.
받아보고 용종 발견된 사람 있어..?,난 아니구 우리아빠
기말 점수는 모르는데 중간 0점인데 C+나온거면 기말 씹상타친거임?,봐준겆
제가 들을 필요 없는 교양을 잘못 신청해서 이번에 c가 나왔는데 이거 강의 그냥 없던걸로 칠수 없나요? 이거 없던걸로 치더라도 16학점이고 교필도 아닌데..,철회기간끝나서안됩니다
백분율이 95거든?? 점수는 교수 재량인가..?,귀찮아서 백분율 95로 하시는분 많음 그냥 순위대로 컷내서 A+주는 애들은 다 95주고 a0는 90점주고 그래
애들아 역대급으로 성적 조져본게 뭐야?,2.9
학점 3.5 이상이면 ㄱㅊ은거임?,ㅇㅇ
